id,year,region,CO2,log_CO2,GDP,log_GDP,CO2_intensity,tax,tax_rate,time,pop,log_pop,hh_income,log_hh_income,energy_supply,log_energy_supply,gas_price,hh_heating_fuel_price,electricity_price,RE_elec_generation,log_RE
1,1990,Alberta,127.569585,4.84866198,"115,758",11.65925708,0.001102037,0,0,0,"2,547,788",14.75073609,,,,,53.89583333,,21.575,,
1,1991,Alberta,127.4968878,4.848091955,"112,838",11.63370844,0.001129911,0,0,0,"2,592,306",14.76805839,,,,,50.14166667,,24.16666667,,
1,1992,Alberta,132.4714695,4.886367298,"113,262",11.63745900,0.001169602,0,0,0,"2,632,672",14.78350986,,,,,47.08333333,,25.71666667,,
1,1993,Alberta,136.3123804,4.914949167,"117,252",11.67208074,0.001162559,0,0,0,"2,667,292",14.79657428,,,,,46.5,,26.26666667,,
1,1994,Alberta,143.6295854,4.967237662,"122,500",11.71586631,0.001172486,0,0,0,"2,700,606",14.80898675,,,,,46.4,,26.9,,
1,1995,Alberta,145.9046019,4.982952996,"123,489",11.72390736,0.001181519,0,0,0,"2,734,519",14.82146611,,,"1,984,276",,48.775,,26.775,,
1,1996,Alberta,149.6899317,5.008566033,"127,185",11.75339800,0.001176946,0,0,0,"2,775,133",14.83620923,,,"1,986,647",,50.63333333,,28.025,,
1,1997,Alberta,154.6638251,5.041253891,"141,802",11.86218700,0.001090703,0,0,0,"2,829,848",14.85573356,,,"1,867,760",,52.63333333,,28.4,,
1,1998,Alberta,154.0184223,5.037072221,"150,627",11.92256186,0.001022515,0,0,0,"2,899,066",14.87989917,,,"1,740,616",,47.94166667,,23.54166667,,
1,1999,Alberta,160.5627979,5.07868513,"151,918",11.93109618,0.001056904,0,0,0,"2,952,692",14.89822785,"71,089",11.17168789,"1,682,184",,52.01666667,,26.275,,
1,2000,Alberta,168.2797447,5.125627742,"165,298",12.01550518,0.001018039,0,0,0,"3,004,198",14.91552120,"77,615",11.25951599,"1,386,433",,63.7875,,28.2,,
1,2001,Alberta,168.318819,5.125859913,"175,656",12.07628282,0.00095823,0,0,0,"3,058,108",14.93330698,"87,443",11.37874243,"1,242,915",,62.92083333,,33.2,,
1,2002,Alberta,170.5727899,5.139162126,"180,089",12.10120645,0.000947158,0,0,0,"3,128,429",14.95604152,"90,872",11.4172072,"1,290,629",,63.9875,,41.90833333,,
1,2003,Alberta,179.140511,5.188170476,"187,935",12.14385144,0.000953205,0,0,0,"3,183,065",14.97335513,"94,848",11.46003089,"1,245,595",,66.85833333,,54.20833333,,
1,2004,Alberta,176.7970353,5.175002381,"199,624",12.20419088,0.00088565,0,0,0,"3,238,668",14.99067269,"102,574",11.53833977,"2,623,918",,75.3375,,45.975,,
1,2005,Alberta,179.6547721,5.191037077,"222,857",12.31428559,0.000806144,0,0,0,"3,321,768",15.01600773,"112,596",11.63156147,"2,647,851",,85.4875,,44.04166667,174174.6,12.06781352
